,network,protocol,seeding_budget,mi_value,diffusion_len,active_actors_prct,seed_actors_prct,gain,selection_metric
297,sf2,OR,4,0.3,4,79.9,4.0,79.06250000000001,k_shell
298,sf3,OR,4,0.3,3,87.8,4.0,87.29166666666667,k_shell
299,sf5,OR,4,0.3,3,98.8,4.0,98.75,k_shell
300,aucs,OR,4,0.4,9,100.0,4.918032786885246,100.0,k_shell
301,ckm_physicians,OR,4,0.4,5,69.29460580912863,4.149377593360995,67.96536796536796,k_shell
302,eu_transportation,OR,4,0.4,8,100.0,4.07673860911271,100.0,k_shell
303,lazega,OR,4,0.4,1,5.633802816901409,4.225352112676056,1.4705882352941186,k_shell
304,er2,OR,4,0.4,7,11.2,4.0,7.500000000000001,k_shell
305,er3,OR,4,0.4,7,100.0,4.0,100.0,k_shell
306,er5,OR,4,0.4,6,100.0,4.0,100.0,k_shell
307,sf2,OR,4,0.4,5,79.9,4.0,79.06250000000001,k_shell
308,sf3,OR,4,0.4,5,87.8,4.0,87.29166666666667,k_shell
309,sf5,OR,4,0.4,4,98.8,4.0,98.75,k_shell
310,aucs,OR,4,0.5,0,4.918032786885246,4.918032786885246,0.0,k_shell
311,ckm_physicians,OR,4,0.5,5,31.535269709543567,4.149377593360995,28.57142857142857,k_shell
312,eu_transportation,OR,4,0.5,9,97.84172661870504,4.07673860911271,97.75,k_shell
313,lazega,OR,4,0.5,0,4.225352112676056,4.225352112676056,0.0,k_shell
314,er2,OR,4,0.5,1,4.4,4.0,0.4166666666666661,k_shell
315,er3,OR,4,0.5,3,7.1,4.0,3.229166666666666,k_shell
316,er5,OR,4,0.5,4,7.6,4.0,3.75,k_shell
317,sf2,OR,4,0.5,12,79.9,4.0,79.06250000000001,k_shell
318,sf3,OR,4,0.5,20,87.8,4.0,87.29166666666667,k_shell
319,sf5,OR,4,0.5,5,98.8,4.0,98.75,k_shell
320,aucs,OR,4,0.6,0,4.918032786885246,4.918032786885246,0.0,k_shell
321,ckm_physicians,OR,4,0.6,5,31.535269709543567,4.149377593360995,28.57142857142857,k_shell
322,eu_transportation,OR,4,0.6,9,97.84172661870504,4.07673860911271,97.75,k_shell
323,lazega,OR,4,0.6,0,4.225352112676056,4.225352112676056,0.0,k_shell
324,er2,OR,4,0.6,1,4.4,4.0,0.4166666666666661,k_shell
325,er3,OR,4,0.6,3,7.1,4.0,3.229166666666666,k_shell
326,er5,OR,4,0.6,4,7.6,4.0,3.75,k_shell
327,sf2,OR,4,0.6,11,31.8,4.0,28.95833333333333,k_shell
328,sf3,OR,4,0.6,10,23.3,4.0,20.104166666666668,k_shell
329,sf5,OR,4,0.6,5,98.8,4.0,98.75,k_shell
330,aucs,OR,4,0.7000000000000001,0,4.918032786885246,4.918032786885246,0.0,k_shell
331,ckm_physicians,OR,4,0.7000000000000001,1,6.639004149377594,4.149377593360995,2.5974025974025983,k_shell
332,eu_transportation,OR,4,0.7000000000000001,5,94.00479616306954,4.07673860911271,93.75,k_shell
333,lazega,OR,4,0.7000000000000001,0,4.225352112676056,4.225352112676056,0.0,k_shell
334,er2,OR,4,0.7000000000000001,0,4.0,4.0,0.0,k_shell
335,er3,OR,4,0.7000000000000001,2,5.7,4.0,1.7708333333333337,k_shell
336,er5,OR,4,0.7000000000000001,2,4.8,4.0,0.8333333333333331,k_shell
